t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.26,0.007809059383385984,0.0,-0.023143388280996616,-0.13898855202551547,-0.002361040283802263,0.0,-0.007809059383385984,0.023143388280996616,0.13898855202551547,0.002361040283802263
0.265,0.007951058614878142,0.0,-0.023990396799274224,-0.14299898616972123,-0.0025091408401097825,0.0,-0.007951058614878142,0.023990396799274224,0.14299898616972123,0.0025091408401097825
0.27,0.00809292256545154,0.0,-0.024851046571292553,-0.1470240939712925,-0.002662911016655431,0.0,-0.00809292256545154,0.024851046571292553,0.1470240939712925,0.002662911016655431
0.275,0.00823464846265925,0.0,-0.025725262363637372,-0.15106283461817616,-0.002822421007367506,0.0,-0.00823464846265925,0.025725262363637372,0.15106283461817616,0.002822421007367506
0.28,0.008376233283264128,0.0,-0.026612968650026797,-0.1551142103892514,-0.002987739285725488,0.0,-0.008376233283264128,0.026612968650026797,0.1551142103892514,0.002987739285725488
0.285,0.008517673787160063,0.0,-0.02751408962726492,-0.15917726490503184,-0.003158932658509516,0.0,-0.008517673787160063,0.02751408962726492,0.15917726490503184,0.003158932658509516
0.29,0.00865896654863384,0.0,-0.028428549233762392,-0.1632510814490438,-0.0033360663181102885,0.0,-0.00865896654863384,0.028428549233762392,0.1632510814490438,0.0033360663181102885
0.295,0.008800107985117307,0.0,-0.029356271170123693,-0.16733478135716467,-0.003519203893346015,0.0,-0.008800107985117307,0.029356271170123693,0.16733478135716467,0.003519203893346015
0.3,0.008941094383576847,0.0,-0.030297178921357783,-0.17142752247226362,-0.003708407498747919,0.0,-0.008941094383576847,0.030297178921357783,0.17142752247226362,0.003708407498747919
0.305,0.009081921924683413,0.0,-0.03125119578032021,-0.17552849766155323,-0.003903737782288607,0.0,-0.009081921924683413,0.03125119578032021,0.17552849766155323,0.003903737782288607
0.31,0.00922258670490205,0.0,-0.03221824487204208,-0.1796369333941392,-0.004105253971538864,0.0,-0.00922258670490205,0.03221824487204208,0.1796369333941392,0.004105253971538864
0.315,0.009363084756634912,0.0,-0.033198249178644314,-0.18375208837633566,-0.004313013918248134,0.0,-0.009363084756634912,0.033198249178644314,0.18375208837633566,0.004313013918248134
