# r_R = 0.03
# r_L = 0.03
# l = 0.08
# kg_R = 25.0
# kg_L = 25.0
# ka = 0.5
# kf = 0.15
# kq = 0.02
# alpha = 8.0
# beta = 8.0
time,x,y,theta,omega_R,omega_L,u_R,u_L
79.8,0.0,0.0,38.98906620525099,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.805,0.0,0.0,38.99156620525099,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.81,0.0,0.0,38.99406620525099,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.815,0.0,0.0,38.996566205250986,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.82000000000001,0.0,0.0,38.99906620525098,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.825,0.0,0.0,39.00156620525098,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.83,0.0,0.0,39.00406620525098,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.83500000000001,0.0,0.0,39.00656620525098,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.84,0.0,0.0,39.009066205250974,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.845,0.0,0.0,39.01156620525097,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.85000000000001,0.0,0.0,39.01406620525097,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.855,0.0,0.0,39.01656620525097,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.86,0.0,0.0,39.019066205250965,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.865,0.0,0.0,39.02156620525096,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.87,0.0,0.0,39.02406620525096,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.875,0.0,0.0,39.02656620525096,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.88,0.0,0.0,39.029066205250956,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.885,0.0,0.0,39.031566205250954,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.89,0.0,0.0,39.03406620525095,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.895,0.0,0.0,39.03656620525095,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.9,0.0,0.0,39.03906620525095,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.905,0.0,0.0,39.041566205250945,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.91,0.0,0.0,39.04406620525094,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.915,0.0,0.0,39.04656620525094,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.92,0.0,0.0,39.04906620525094,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.925,0.0,0.0,39.051566205250936,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.93,0.0,0.0,39.05406620525093,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.935,0.0,0.0,39.05656620525093,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.94,0.0,0.0,39.05906620525093,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.94500000000001,0.0,0.0,39.06156620525093,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.95,0.0,0.0,39.064066205250924,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.955,0.0,0.0,39.06656620525092,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.96000000000001,0.0,0.0,39.06906620525092,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.965,0.0,0.0,39.07156620525092,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.97,0.0,0.0,39.074066205250915,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.97500000000001,0.0,0.0,39.07656620525091,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.98,0.0,0.0,39.07906620525091,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.985,0.0,0.0,39.08156620525091,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.99,0.0,0.0,39.084066205250906,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.995,0.0,0.0,39.086566205250904,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.0,0.0,0.0,39.0890662052509,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.005,0.0,0.0,39.0915662052509,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.01,0.0,0.0,39.0940662052509,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.015,0.0,0.0,39.096566205250895,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.02,0.0,0.0,39.09906620525089,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.025,0.0,0.0,39.10156620525089,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.03,0.0,0.0,39.10406620525089,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.035,0.0,0.0,39.106566205250886,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.04,0.0,0.0,39.10906620525088,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.045,0.0,0.0,39.11156620525088,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
80.05,0.0,0.0,39.11406620525088,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
